question,class
"According to CRA instructions, what is the limit on the number of SIM cards that Iranian natural persons and non-Iranian natural persons can register and activate?",1
What responsibilities lie with the SIM Card owner until the ownership of the SIM Card is legally transferred to another person?,1
What are the valid identity documents for Iranian nationals when receiving a SIM card through regular delivery?,1
"For foreign nationals, what are the acceptable identity documents when receiving a SIM card through regular delivery?",1
What should the Subscriber do if they are not present when the postman arrives for delivery?,1
What are the requirements and conditions for choosing express delivery to receive a product within a selected time period?,1
What is the first obligation for a customer before purchasing a mobile modem?,1
How can a customer check Irancell network coverage in their intended area?,1
Why is it not possible to return a modem due to lack of coverage?,1
What must the customer accept before using Irancell services and products?,1
What happens if the customer enters inaccurate information during the purchase of a service or product?,1
What responsibility does the customer have in providing accurate identity information?,1
How should the customer pay the payable amount in Irancell Online Store?,1
What is the consequence if the customer fails to provide required documents to the postman during package delivery?,1
Under what circumstances may the postman avoid delivering the package?,1
What is the customer's responsibility regarding damaged packages received from the postman?,1
What information should the customer provide at the time of placing an order to avoid any issues?,1
What can Irancell do if there is a discrepancy in the information provided by the customer at any stage?,1
"What postal code should the customer provide, and where can they find accurate information?",1
What is the basis for providing customers with Irancell gifts and services?,1
What obligations does Irancell have in delivering purchased products or services to customers?,1
Where does Irancell post the purchased product according to its obligations?,1
What does Irancell undertake if the provision of a purchased product or service is found to be impossible later?,1
Within what period can customers cancel their order for a mobile modem and ask for a refund?,1
How can customers request a refund for a canceled mobile modem order?,1
What happens to the refunded amount for a canceled order?,1
How can customers transfer the refunded amount to their bank account?,1
What is the consequence of taking delivery of a mobile modem if a customer wishes to cancel the purchase?,1
"Which payments are refundable, and which are not, according to Irancell's refund policy?",1
What is the limit on the number of SIM cards owned by Iranian natural persons according to CRA instructions?,1
How many SIM cards can a non-Iranian natural person register and activate according to CRA instructions?,1
What responsibilities lie with the SIM card owner until its ownership is legally transferred to another person?,1
What regulations should the SIM card owner follow when transferring ownership to another person?,1
What does the person under whose name the SIM card has been registered need to hand over during regular delivery?,1
List valid identity documents for Iranian nationals during regular delivery.,1
What documents are acceptable for foreign nationals as valid identity documents during regular delivery?,1
What should a subscriber do if they are not present when the postman arrives during regular delivery?,1
What does a customer need to be present at the announced address for when choosing express delivery?,1
What happens if a customer is not present during express delivery within the selected time period?,1
How can a customer request the delivery of the product by the postman again if they are not present during regular delivery?,1
What is the time frame for regular delivery if express delivery is not chosen?,1
What is the Customer's responsibility before purchasing a mobile modem from Irancell?,1
How can the Customer check Irancell network coverage in the intended area?,1
Why can't a mobile modem be returned due to lack of coverage?,1
What must the Customer accept to use Irancell services and products?,1
What happens if the Customer enters inaccurate identity information during the purchase?,1
"What is the consequence if inaccurate information is entered, and the central authentication system cannot generate a reference number?",1
How is the payable amount stated in Irancell Online Store paid by the Customer?,1
What documents does the Customer need to prepare and provide to the postman upon delivering the package?,1
What does Irancell recommend the Customer avoid when receiving packages from the postman?,1
What should the Customer do if they discover that a received package is damaged?,1
What information and documents does the Customer need to provide at the time of placing an order?,1
What can Irancell do if any discrepancy is discovered in the information or documents provided by the Customer?,1
What does the Customer need to provide for registration during the purchase process?,1
Where can the Customer find the accurate postal code of their place of residence?,1
What is the basis for providing Irancell gifts and services to the Customer?,1
What obligations does Irancell have regarding the delivery of purchased products or services to the Customer?,1
How does Irancell deliver the purchased product to the Customer?,1
What happens if Irancell is unable to provide a product or service after the Customer has paid for it?,1
How long do customers have to cancel their order for a mobile modem purchased via Irancell Online Stores?,1
How can customers request a refund for a canceled order?,1
What happens if a customer cancels their order before receiving the mobile modem?,1
Where is the refunded amount stored if a customer cancels their order before receiving the product?,1
What can customers do with the refunded amount in their Irancell Online Store Wallet?,1
Why should customers not take delivery of the purchased product if they wish to cancel their mobile modem purchase?,1
Which payments made using a bank card connected to a centralized account can be refunded?,1
"What types of payments made using cards are not refundable, according to Irancell?",1
What is the limit on the number of SIM cards that Iranian natural persons can register and activate?,1
How many SIM cards can non-Iranian natural persons register and activate according to CRA instructions?,1
What responsibilities lie with the SIM Card owner until ownership is legally transferred to another person?,1
What should SIM Card owners follow if they decide to transfer ownership to another person?,1
What documents does the person under whose name the SIM Card is registered need to provide during regular delivery?,1
What are the valid identity documents for Iranian nationals during regular delivery?,1
What is required for Iranian nationals who have an old National ID Card during regular delivery?,1
What documents are considered valid identity documents for foreign nationals during regular delivery?,1
Which documents are not acceptable as valid identity documents for foreign nationals during regular delivery?,1
What should the Subscriber do if they are not present when the postman arrives for regular delivery?,1
How can the Subscriber request delivery of the product again if they are not present during regular delivery?,1
What is the requirement for the Customer to receive a product through express delivery within a selected time period?,1
What happens if the Customer is not present at the announced address during express delivery?,1
How long does it take for the product to be sent through regular delivery if the Customer is not present during express delivery?,1
What action should the seller take before changing SIM card ownership according to the text?,2
What responsibility does the seller have if they fail to delete all information stored on the SIM card before delivering it to the buyer?,2
What is the consequence if the original SIM card is not available for the process of SIM card ownership change?,2
Why is it necessary for the original SIM card to be available for the ownership change process to take place?,2
What happens if either the seller or buyer is not present at the chosen address to receive the SIM card during the ownership change process?,2
What are the potential charges if the SIM card ownership change process is stopped due to the absence of the seller and buyer at the chosen address?,2
What is the status of the SIM card after filing an online request for a change of ownership?,2
How is the SIM card reactivated after the successful completion of the ownership change request?,2
What does the text imply about the importance of the original SIM card in the ownership change process?,2
What measures can be taken to avoid being held responsible for future SIM card misuses as a seller?,2
How does the text describe the delivery and ID authentication process for the SIM card ownership change?,2
What is the significance of the seller delivering the original SIM card to the buyer in the ownership change process?,2
Why is it emphasized that the seller needs to delete all information stored on the SIM card before transferring ownership?,2
"What does the term ""soft suspended"" mean in the context of the SIM card ownership change process?",2
"Can the ownership change process proceed with a new SIM card, according to the text?",2
What is the impact of the SIM card being soft suspended during the ownership change process?,2
How does the text suggest avoiding charges for future SIM card deliveries during the ownership change process?,2
What are the consequences if the SIM card ownership change process is not successfully completed?,2
How does the text characterize the relationship between the availability of the original SIM card and the ownership change process?,2
What steps should the seller and buyer take to ensure a successful SIM card ownership change process?,2
What is the first step the seller (initial SIM card owner) needs to take before changing SIM card ownership?,2
Why is it crucial for the seller to delete all information stored on the SIM card before delivering it to the buyer?,2
What responsibility does the seller bear if they fail to delete information from the SIM card before transferring ownership?,2
How does the delivery and ID authentication process work when changing SIM card ownership?,2
Why is it necessary for the original SIM card to be available for the ownership change process to take place?,2
What consequence does the text mention if either the seller or buyer is not present at the chosen address to receive the SIM card during the ownership change process?,2
"In the absence of the original SIM card, can ownership be changed with a new SIM card, according to the text?",2
What happens if the SIM card ownership change process is interrupted due to the absence of the seller or buyer at the chosen address?,2
What action is taken with the SIM card after filing an online request for a change of ownership?,2
How is the SIM card affected during the period of soft suspension after a change of ownership request is filed?,2
When will the SIM card be reactivated after the ownership change request is successfully completed?,2
"Are there any specific charges associated with the SIM card ownership change process, as mentioned in the text?",2
What potential misuses of the SIM card in the future is the seller held responsible for if they do not delete the information before transferring ownership?,2
Can the SIM card ownership change process proceed if both the seller and buyer are not present at the chosen address during the delivery process?,2
What role does the availability of the original SIM card play in the successful completion of the ownership change process?,2
What is the consequence of not having the original SIM card available during the SIM card ownership change process?,2
How does the soft suspension of the SIM card impact its functionality during the ownership change process?,2
"What does the text suggest about the necessity of the original SIM card for successful ownership change with another, new SIM card?",2
Is there any mention of specific conditions or requirements for filing an online request for a change of ownership?,2
What measures are taken to ensure the security and proper completion of the SIM card ownership change process?,2
User,2
generate 200 questions from this text:,2
Customer Obligations:,2
"Before purchasing any mobile modem, the Customer shall check Irancell network coverage in the intended area using the “coverage map” available on Irancell website.‌ Since maximum coverage is provided in all areas and mobile modems can be used in various parts, it is not possible to return a modem due to lack of coverage.",2
"In order to use Irancell services and products, the Customer shall accept the terms and conditions of the related service as well as the present terms and conditions.",2
"The Customer shall be responsible to enter accurate and correct identity information while purchasing a service or product. In case any inaccurate information is entered by the Customer, central authentication system will not be able to generate reference number; therefore, service registration and activation will not be possible and Irancell shall have no responsibility in this regard.",2
The Customer shall pay the payable amount stated in Irancell Online Store via available online payment gateway.,2
"The Customer undertakes to prepare the required documents and provide them to the postman at the time of delivering the package. Otherwise, the postman may avoid delivering the package.",2
"The Customer undertakes to avoid receiving damaged packages from postman. Irancell shall not be responsible if, after receiving the package, the Customer finds out that it is damaged.",2
"The Customer undertakes to provide updated information and documents at the time of placing the order. In case any discrepancy is discovered at any stage, Irancell shall be entitled to avoid delivering the product or activating the service.‌‌‌",2
"The Customer shall provide the 10-digit postal code of its present domicile to be registered.‌ Please refer to your utility bills (fixed phone, water, electricity or gas) to get the accurate postal code of your place of residence. Please be careful while entering the postal code and other information since the information recorded in your file (in Irancell system) is the basis for providing you with all Irancell gifts and services.",2
Irancell Obligations:,2
Irancell undertakes to deliver to the Customer the purchased product or service within the specified period and in accordance with the terms and conditions referred to on Irancell Online Store website.‌,2
Irancell shall post the purchased product to the address announced by the Customer.,2
"In the event that the Customer pays the price of a product or service the provision of which is found to be impossible later, Irancell shall refund the amount to the Customer.",2
Purchase Cancellation:,2
"Customers who purchase their mobile modem via Irancell Online Stores may cancel their order within 7 business days after placing their order (prior to receiving the modem) and ask for a refund.‌‌ To ask for a refund, the purchaser (the person under whose name the SIM Card is registered) may contact Irancell Call Center by dialing 700 from Irancell lines or 09377000000 from other lines or may raise their request through online chat with Call Center agents.‌ (It’s better to cancel your purchase as soon as possible in order to avoid any payment or waste of time.)‌",2
"If you cancel your order (before receiving the mobile modem), the amount will be returned to your Irancell Online Store Wallet and then you will be able to transfer the amount to your bank account or purchase again.‌",2
"Please note that in case you wish to cancel your mobile modem purchase, you should not take delivery of the purchased product from the postman since the mobile modems delivered will not be subject to refund policy.",2
Only the amounts paid using a bank card connected to a centralized account can be refunded. Payments made using a gift card or other similar cards are not refundable and Irancell undertakes no responsibility for returning the same.,2
The Limit on Number of SIM Cards Owned by Customers:‌‌,2
"Please note that according to CRA instructions, it is only possible to register for and activate maximum ten (10) SIM Cards for each Iranian natural persons and three (3) SIM Cards for each non-Iranian natural person.‌",2
"If the SIM Card owner decides to transfer the ownership of the SIM Card to another person, they should follow all Irancell regulations in this regard.‌‌ All the responsibilities associated with the SIM Card shall lie with the SIM Card owner until the ownership of the SIM Card is legally transferred to another person.‌‌‌",2
Regular Delivery:,2
"When the postman arrives, the person under whose name the SIM Card has been registered needs to hand over a valid identity document and a copy of the same for identification purposes.‌",2
Valid identity documents for Iranian nationals shall include one of the following:,2
Smart National ID Card,2
New birth certificate containing a digital photo and National ID (a birth certificate lacking a photo shall not be valid) ‌‌,2
"Old National ID Card together with the smart National ID Card receipt (sealed by an ICT service center, electronic services counter, post office, or civil registry office/a certificate approved by civil registry office/a National ID certificate)‌",2
A valid identity document for foreign nationals shall include one of the following:,2
"A valid passport, Amayesh card, identity card, green card or VIP residence permit for foreign nationals. Other documents such as visa shall not be acceptable.",2
"If the postman arrives at the announced address and the Subscriber is not present, the Subscriber may call Irancell Call Center by dialing 700 from Irancell lines or 09377000000 from other lines and ask for delivery of the product by the postman again.",2
"Express Delivery: If you choose express delivery to receive the product within your selected time period, you need to be present at the announced address; otherwise, the product will be sent through regular delivery within 7 days.",2
ChatGPT,2
What is the Customer's responsibility before purchasing a mobile modem from Irancell?,2
How can the Customer check Irancell network coverage in the intended area?,2
Why can't a mobile modem be returned due to lack of coverage?,2
What must the Customer accept to use Irancell services and products?,2
What happens if the Customer enters inaccurate identity information during the purchase?,2
"What is the consequence if inaccurate information is entered, and the central authentication system cannot generate a reference number?",2
How is the payable amount stated in Irancell Online Store paid by the Customer?,2
What documents does the Customer need to prepare and provide to the postman upon delivering the package?,2
What does Irancell recommend the Customer avoid when receiving packages from the postman?,2
What should the Customer do if they discover that a received package is damaged?,2
What information and documents does the Customer need to provide at the time of placing an order?,2
What can Irancell do if any discrepancy is discovered in the information or documents provided by the Customer?,2
What does the Customer need to provide for registration during the purchase process?,2
Where can the Customer find the accurate postal code of their place of residence?,2
What is the basis for providing Irancell gifts and services to the Customer?,2
What obligations does Irancell have regarding the delivery of purchased products or services to the Customer?,2
How does Irancell deliver the purchased product to the Customer?,2
What happens if Irancell is unable to provide a product or service after the Customer has paid for it?,2
How long do customers have to cancel their order for a mobile modem purchased via Irancell Online Stores?,2
How can customers request a refund for a canceled order?,2
What happens if a customer cancels their order before receiving the mobile modem?,2
Where is the refunded amount stored if a customer cancels their order before receiving the product?,2
What can customers do with the refunded amount in their Irancell Online Store Wallet?,2
Why should customers not take delivery of the purchased product if they wish to cancel their mobile modem purchase?,2
Which payments made using a bank card connected to a centralized account can be refunded?,2
"What types of payments made using cards are not refundable, according to Irancell?",2
What is the limit on the number of SIM cards that Iranian natural persons can register and activate?,2
How many SIM cards can non-Iranian natural persons register and activate according to CRA instructions?,2
What responsibilities lie with the SIM Card owner until ownership is legally transferred to another person?,2
What should SIM Card owners follow if they decide to transfer ownership to another person?,2
What documents does the person under whose name the SIM Card is registered need to provide during regular delivery?,2
What are the valid identity documents for Iranian nationals during regular delivery?,2
What is required for Iranian nationals who have an old National ID Card during regular delivery?,2
What documents are considered valid identity documents for foreign nationals during regular delivery?,2
Which documents are not acceptable as valid identity documents for foreign nationals during regular delivery?,2
What should the Subscriber do if they are not present when the postman arrives for regular delivery?,2
How can the Subscriber request delivery of the product again if they are not present during regular delivery?,2
What is the requirement for the Customer to receive a product through express delivery within a selected time period?,2
What happens if the Customer is not present at the announced address during express delivery?,2
How long does it take for the product to be sent through regular delivery if the Customer is not present during express delivery?,2
2 / 2,2
User,2
"Before changing SIM card ownership, the seller (initial SIM card owner) should delete all the information stored on the SIM card and then deliver it to the buyer; otherwise, the seller will be held responsible for all possible SIM card misuses in the future.",2
"Note that when the delivery and ID authentication personnel are sent to the chosen address, the original seller SIM card will be delivered to the buyer. So, for the process of SIM card ownership change to take place, it is necessary that the original SIM card be available; otherwise, it’s not possible to change the ownership with another, new SIM card.",2
"If the seller and buyer or one of them are not present at the chosen address to receive the SIM card, the SIM card ownership change process will be stopped and they will be charged for future SIM card deliveries.",2
"After filing an online request for change of ownership, SIM card will be soft suspended and then reactivated once the request is successfully completed.",2
ChatGPT,2
What should the seller do before changing SIM card ownership?,2
Why is the seller held responsible for SIM card misuses in the future if information is not deleted before transferring ownership?,2
What must the seller do before delivering the SIM card to the buyer?,2
Why is it necessary for the original SIM card to be available for the ownership change process?,2
Is it possible to change SIM card ownership with a new SIM card?,2
What happens if the seller or buyer is not present at the chosen address during the delivery and ID authentication process?,2
What is the consequence of not having the original SIM card available for the ownership change process?,2
What charges will be incurred if the seller and buyer are not present at the chosen address to receive the SIM card?,2
What happens to the SIM card after filing an online request for a change of ownership?,2
How is the SIM card affected during the ownership change process after filing an online request?,2
What is the status of the SIM card during the ownership change process?,2
When is the SIM card reactivated after filing an online request for a change of ownership?,2
"What does it mean for the SIM card to be ""soft suspended"" during the ownership change process?",2
What is the purpose of soft suspending the SIM card during the ownership change process?,2
How long does it take for the SIM card to be reactivated after the ownership change request is successfully completed?,2
"What is included in the Economical Package in terms of data usage, and what policy governs its usage?",3
"What are the available speed options for the Economical Packages, and how do they differ?",3
How does the Fair Usage Policy affect the subscriber's data speed in the Economical Package?,3
Can a subscriber purchase more than one Economical Package simultaneously?,3
"What is the process for purchasing Economical Packages, and what channels can be used for this purpose?",3
How is the Fair Usage Policy applied to the different types of Economical Packages?,3
What happens if a subscriber exceeds the specified amount of traffic in the chosen Economical Package?,3
"Can the speed of the Economical Package be customized, and if so, how?",3
"What is the maximum speed available for the Economical Package, and under what conditions does it apply?",3
"Can limited and economical data packages be purchased at the same time, and how are they prioritized in usage?",3
How does the simultaneous purchase of limited and economical packages impact their start dates for usage?,3
What responsibilities does the subscriber have when purchasing both limited and economical packages?,3
How does the speed of the Economical Package compare to the speed of the limited data package when used simultaneously?,3
What are the specific steps to purchase Economical Packages using the *555# code and the MyIrancell superapplication?,3
Is there a restriction on the number of Economical Packages a subscriber can purchase within a specific timeframe?,3
"What is the Fair Usage Policy for the Economical Package, and how does it affect data usage?",3
"What are the different speed options available for purchase within the Economical Packages, and what are the corresponding speeds?",3
"How can a subscriber purchase an Economical Package, and what is the process involved?",3
What happens if a subscriber exceeds the specified amount of traffic in the Fair Usage Policy for the Economical Package?,3
"Can a subscriber purchase more than one Economical Package simultaneously, and if not, what is the restriction?",3
"What is the method for acquiring Economical Packages, and what role does the code *555# play in the process?",3
"In the case of purchasing both limited and economical data packages simultaneously, which one takes precedence in terms of usage, and why?",3
"If a subscriber purchases both limited and economical packages at the same time, when do they become active, and what responsibility does the subscriber have?",3
How does the speed of the Economical Package differ from the limited data package when both are used simultaneously?,3
"How is the speed affected when the Fair Usage Policy is triggered in the Economical Package, and what is the resulting speed?",3
"What application can subscribers use to purchase Economical Packages, and what features does this application offer?",3
Can you explain the relationship between the expiry dates of limited data packages and Economical Packages when purchased together?,3
Is there any restriction on the number of limited data packages a subscriber can use simultaneously with an Economical Package?,3
How does the speed of the limited data package compare to the speed of the Economical Package when both are active at the same time?,3
"What is the speed range of the Economical Package, and how does it vary based on the package purchased?",3
What is the key feature of the Economical Package in terms of data usage?,3
What are the available speed options for the Economical Packages?,3
How is the Fair Usage Policy applied to the subscriber's data usage?,3
What happens if a subscriber exceeds the specified traffic limit in the chosen package?,3
Can a subscriber purchase more than one Economical Package simultaneously?,3
What are the steps to purchase Economical Packages?,3
How can a subscriber access MyIrancell superapplication to buy Economical Packages?,3
How are limited data packages and Economical Packages used when purchased simultaneously?,3
What is the consequence of exceeding the Fair Usage Policy limit in terms of speed?,3
What is the maximum speed available for the Economical Package?,3
Can a subscriber purchase both limited and economical data packages at the same time?,3
How does the speed of limited and economical packages differ when used simultaneously?,3
"In the case of simultaneous purchase, which package is used first, limited or economical?",3
What is the role of the code *555# in the process of purchasing Economical Packages?,3
How does the speed of the Economical Package change when the Fair Usage Policy limit is reached?,3
Is there any limitation on the number of Economical Packages a subscriber can purchase?,3
What is the responsibility of the subscriber when purchasing multiple packages simultaneously?,3
How can a subscriber check the speed of their current Economical Package?,3
Can the speed of the Economical Package be customized by the subscriber?,3
What is the expiration date policy for simultaneous limited and economical data packages?,3
How does the subscriber ensure the correct usage of both limited and economical packages?,3
Can the subscriber use the limited data package with unlimited speed simultaneously with the Economical Package?,3
"What happens if a subscriber purchases two packages, one limited and one economical, at different times?",3
Are there any specific rules for using limited and economical packages concurrently?,3
How does the subscriber initiate the purchase of multiple data packages?,3
Can the speed of the Economical Package be upgraded after purchase?,3
What happens if a subscriber tries to purchase more than one Economical Package simultaneously?,3
Is there a difference in the speed of the Economical Package based on the chosen package type?,3
What is the role of the Fair Usage Policy in controlling data usage for the Economical Package?,3
How can a subscriber ensure efficient management of their data usage with limited and economical packages?,3
What is included in the Economical Package for subscribers?,3
What are the different speed options available for Economical Packages?,3
How does the Fair Usage Policy affect the data usage in Economical Packages?,3
What happens if a subscriber exceeds the specified amount of traffic in the Fair Usage Policy?,3
How can a subscriber purchase an Economical Package?,3
Is it possible to purchase more than one Economical Package simultaneously?,3
"What is the code for purchasing Economical Packages, and where can it be dialed?",3
Can Economical Packages be purchased through the MyIrancell superapplication?,3
How does the speed of Economical Packages vary based on the selected speed option?,3
What is the speed limit if a subscriber chooses the 512 Kbps Economical Package?,3
What is the consequence if a subscriber exceeds the Fair Usage Policy limit in an Economical Package?,3
Are there limitations on the number of Economical Packages a subscriber can purchase at the same time?,3
How does the purchase of limited data packages alongside Economical Packages affect usage?,3
"In the case of purchasing limited and economical packages simultaneously, which package is used first?",3
What happens if both limited and economical packages are purchased at the same time?,3
When will the packages (limited and economical) purchased simultaneously be activated for use?,3
What responsibility does the subscriber have when purchasing multiple packages?,3
What is the speed of the limited data package when used simultaneously with an economical package?,3
How does the speed of the limited data package compare to the speed of the economical package?,3
Can the limited data package have a speed drop like the economical package if the Fair Usage Policy is exceeded?,3
Is there any restriction on the expiration dates of simultaneously purchased limited and economical packages?,3
How can a subscriber check the speed of their current Economical Package?,3
Are there any restrictions on the duration of the Economical Packages?,3
Can a subscriber switch between different speed options within the Economical Package?,3
How does the MyIrancell superapplication facilitate the purchase of Economical Packages?,3
Can the speed of the Economical Package be upgraded or downgraded after purchase?,3
What happens if a subscriber uses both limited and economical packages simultaneously?,3
Is there a specific time frame during which the limited and economical packages must be used together?,3
How does the subscriber manage and monitor their data usage in Economical Packages?,3
Are there any additional charges or penalties for purchasing and using multiple packages simultaneously?,3
What is the first obligation for customers mentioned in the text before purchasing a service or product from Irancell?,4
How can customers verify Irancell network coverage in their intended area before making a purchase?,4
"What happens if a customer enters inaccurate information during the purchase, according to the central authentication system?",4
How does the customer pay the payable amount for the service or product purchased through Irancell Online Store?,4
"What does the customer need to do when the postman delivers a package, regarding the required documents?",4
In what situation may the postman avoid delivering the package to the customer?,4
What responsibility does the customer have if they receive a damaged package from the postman?,4
What happens if the customer discovers that the received package is damaged after accepting it?,4
"What information does the customer need to provide at the time of placing an order, and why is it important?",4
"What is the basis for providing Irancell gifts and services to the customer, according to the information recorded in Irancell's system?",4
Within how many working days is Irancell obligated to deliver the purchased product or service to the customer?,4
"Where does Irancell send the purchased product, according to its obligations mentioned in the text?",4
What does Irancell do if it's impossible to provide a product or service after the customer has paid for it?,4
"Under what conditions can customers cancel the purchase of optical fiber Internet service, and within what time frame?",4
"How can a customer request a refund for a canceled order, and what payment methods are eligible for a refund?",4
What happens to the refunded amount if an order is canceled before the delivery of the product?,4
What are the terms and conditions for the money-back guarantee for customers who purchase fiber optic service?,4
What should customers do to use the modem return guarantee in addition to the service refund?,4
"What are the conditions for returning the modem, and what flaws are not covered by the return policy?",4
"What responsibilities lie with the owner in case of a change of ownership, and when can the new owner request a money-back guarantee?",4
What documents does the person under whose name the service is registered need to provide when the postman arrives for delivery?,4
What valid identity documents are required for Iranian nationals during the delivery process?,4
"In case the subscriber is not present during delivery, how can they arrange for the postman to deliver the product again?",4
"Under what circumstances may the delivery of a product be delayed, as mentioned in the note at the end of the text?",4
What is the Customer's responsibility regarding Irancell network coverage before purchasing a service or product?,4
"What are the consequences if the Customer enters inaccurate information during the purchase process, and how does it affect service activation?",4
How should the Customer make the payment for the purchased product or service through Irancell Online Store?,4
"What does the Customer need to do when receiving a package from the postman, and what happens if the required documents are not provided?",4
In what situation will Irancell not be held responsible if the Customer receives a damaged package from the postman?,4
What action can Irancell take if the Customer fails to provide updated information and documents at the time of placing an order?,4
"Why is it important for the Customer to provide their 10-digit postal code, and where can they find accurate information for it?",4
"What are Irancell's obligations regarding the delivery time of purchased products or services, and within how many working days should the delivery be completed?",4
How does Irancell handle the refund process if the provision of a purchased product or service becomes impossible?,4
What is the cancellation policy for customers who purchase optical fiber Internet service through Irancell Online Store gateways?,4
"How can a purchaser request a refund for optical fiber Internet service, and what payment methods are eligible for a refund?",4
What happens to the refunded amounts in case of order cancellation before the delivery of the product?,4
"Under what conditions can customers request a refund for fiber optic service, and what role does the Technical Team of Network Division play in the approval process?",4
What are the terms and conditions for returning the modem in the money-back guarantee policy?,4
"How should customers handle the original package of the modem during the return process, and what are the conditions for return?",4
"What flaws are excluded from the return policy regarding the modem, and what documentation is necessary for the return procedure?",4
"What regulations should be followed in the case of a change of ownership, and what responsibilities does the owner retain until the ownership is transferred?",4
"Can the new owner request a money-back guarantee in case of a change of ownership, and what conditions apply?",4
"What documents are required for the delivery process, and what valid identity documents are acceptable for Iranian and foreign nationals?",4
"What should the Subscriber do if the postman arrives at the announced address and the Subscriber is not present, especially in bad weather conditions?",4
What should the Customer check before purchasing from Irancell?,4
What happens if the Customer enters inaccurate information during the purchase?,4
How does the Customer pay the payable amount in Irancell Online Store?,4
What is the Customer's responsibility during the package delivery process?,4
What should the Customer do if they receive a damaged package from the postman?,4
Why is it important for the Customer to provide updated information and documents?,4
What is the basis for providing Irancell gifts and services to the Customer?,4
How long does Irancell commit to delivering the purchased product or service to the Customer?,4
Where does Irancell send the purchased product to?,4
What happens if the provision of a purchased product or service becomes impossible later?,4
What is the timeframe for canceling optical fiber Internet service and requesting a refund?,4
How can a customer request a refund for optical fiber Internet service?,4
"Which payments are refundable, and which are not, according to Irancell's policy?",4
Where will the refunded amounts be returned if the order is canceled before delivery?,4
Under what conditions can customers request a refund for fiber optic service?,4
What are the terms and conditions for returning the modem for a refund?,4
Why is it necessary to keep the original package of the modem when returning it?,4
What actions can result in the modem not being eligible for return?,4
What documents are required for the change of ownership process?,4
Can the new owner request a money-back guarantee after a change of ownership?,4
What documents are needed for identification purposes during product delivery?,4
What identity documents are acceptable for Iranian nationals during product delivery?,4
What identity documents are acceptable for foreign nationals during product delivery?,4
What should the Subscriber do if they are not present during product delivery?,4
What can the Subscriber do if the postman needs to deliver the product again?,4
What is the impact of bad weather conditions on product delivery?,4
How can the Customer contact Irancell Call Center using Irancell lines?,4
How can the Customer contact Irancell Call Center using other lines?,4
What is the process for requesting a refund for fiber optic service due to coverage issues?,4
Who approves the refund request for fiber optic service due to coverage issues?,4
What is the purpose of the Technical Team of Network Division in the refund process?,4
How does Irancell determine the eligibility for modem return guarantee?,4
What should the subscriber include when returning the modem for a refund?,4
What actions can render the modem ineligible for return?,4
What flaws are not covered by the return policy for the modem?,4
Why is it necessary to have the invoice for the modem return procedure?,4
What regulations should the owner follow for a change of ownership in Irancell?,4
