question,class
"customer purchase mobile modem Irancell Online Stores cancel order 7 business day placing order ( prior receive modem ) ask refund.‌‌ ask refund , purchaser ( person SIM Card register ) contact Irancell Center dial 700 Irancell line 09377000000 line raise request online chat Center agents.‌ ( well cancel purchase soon possible order avoid payment waste time.)‌",2
"cancel order ( receive mobile modem ) , return Irancell Online Store Wallet able transfer bank account purchase again.‌",2
"note case wish cancel mobile modem purchase , delivery purchase product postman mobile modem deliver subject refund policy .",2
amount pay bank card connect centralized account refund . payment gift card similar card refundable Irancell undertake responsibility return .,2
limit Number SIM Cards own customers:‌‌,2
"note accord CRA instruction , possible register activate maximum ( 10 ) SIM Cards iranian natural person ( 3 ) SIM Cards non - iranian natural person.‌",2
"SIM card owner decide transfer ownership SIM card person , follow Irancell regulation regard.‌‌ responsibility associate SIM Card shall lie SIM card owner ownership SIM Card legally transfer person.‌‌‌",2
regular Delivery :,2
"postman arrive , person SIM Card register need hand valid identity document copy identification purposes.‌",2
valid identity document iranian national shall include follow :,2
Smart National ID Card,2
new birth certificate contain digital photo National ID ( birth certificate lack photo shall valid ) ‌‌,2
"Old National ID Card smart National ID Card receipt ( seal ICT service center , electronic service counter , post office , civil registry office / certificate approve civil registry office / National ID certificate)‌",2
valid identity document foreign national shall include follow :,2
"valid passport , Amayesh card , identity card , green card VIP residence permit foreign national . document visa shall acceptable .",2
"postman arrive announce address Subscriber present , Subscriber Irancell Center dial 700 Irancell line 09377000000 line ask delivery product postman .",2
"Express Delivery : choose express delivery receive product select time period , need present announce address ; , product send regular delivery 7 day .",2
chatgpt,2
customer responsibility purchase mobile modem Irancell ?,2
customer check Irancell network coverage intend area ?,2
mobile modem return lack coverage ?,2
customer accept use Irancell service product ?,2
happen Customer enter inaccurate identity information purchase ?,2
"consequence inaccurate information enter , central authentication system generate reference number ?",2
payable state Irancell Online Store pay Customer ?,2
document Customer need prepare provide postman deliver package ?,2
Irancell recommend Customer avoid receive package postman ?,2
customer discover receive package damage ?,2
information document Customer need provide time place order ?,2
irancell discrepancy discover information document provide Customer ?,2
customer need provide registration purchase process ?,2
customer find accurate postal code place residence ?,2
basis provide Irancell gift service Customer ?,2
obligation Irancell delivery purchase product service Customer ?,2
Irancell deliver purchase product Customer ?,2
happen Irancell unable provide product service Customer pay ?,2
long customer cancel order mobile modem purchase Irancell Online Stores ?,2
customer request refund cancel order ?,2
happen customer cancel order receive mobile modem ?,2
refund store customer cancel order receive product ?,2
customer refund Irancell Online Store Wallet ?,2
customer delivery purchase product wish cancel mobile modem purchase ?,2
payment bank card connect centralized account refund ?,2
"type payment card refundable , accord Irancell ?",2
limit number SIM card iranian natural person register activate ?,2
SIM card non - iranian natural person register activate accord CRA instruction ?,2
responsibility lie SIM card owner ownership legally transfer person ?,2
SIM card owner follow decide transfer ownership person ?,2
document person SIM Card register need provide regular delivery ?,2
valid identity document iranian national regular delivery ?,2
require iranian national old National ID Card regular delivery ?,2
document consider valid identity document foreign national regular delivery ?,2
document acceptable valid identity document foreign national regular delivery ?,2
subscriber present postman arrive regular delivery ?,2
subscriber request delivery product present regular delivery ?,2
requirement Customer receive product express delivery select time period ?,2
happen Customer present announce address express delivery ?,2
long product send regular delivery customer present express delivery ?,2
2 / 2,2
user,2
"change SIM card ownership , seller ( initial SIM card owner ) delete information store SIM card deliver buyer ; , seller hold responsible possible SIM card misuse future .",2
"note delivery ID authentication personnel send choose address , original seller SIM card deliver buyer . , process SIM card ownership change place , necessary original SIM card available ; , possible change ownership , new SIM card .",2
"seller buyer present choose address receive SIM card , SIM card ownership change process stop charge future SIM card delivery .",2
"file online request change ownership , SIM card soft suspend reactivate request successfully complete .",2
chatgpt,2
seller change SIM card ownership ?,2
seller hold responsible SIM card misuse future information delete transfer ownership ?,2
seller deliver SIM card buyer ?,2
necessary original SIM card available ownership change process ?,2
possible change SIM card ownership new SIM card ?,2
happen seller buyer present choose address delivery ID authentication process ?,2
consequence have original SIM card available ownership change process ?,2
charge incur seller buyer present choose address receive SIM card ?,2
happen SIM card file online request change ownership ?,2
SIM card affect ownership change process file online request ?,2
status SIM card ownership change process ?,2
SIM card reactivate file online request change ownership ?,2
"mean SIM card "" soft suspend "" ownership change process ?",2
purpose soft suspend SIM card ownership change process ?,2
long SIM card reactivate ownership change request successfully complete ?,2
"include Economical Package term data usage , policy govern usage ?",3
"available speed option Economical Packages , differ ?",3
fair Usage Policy affect subscriber datum speed Economical Package ?,3
subscriber purchase Economical Package simultaneously ?,3
"process purchase Economical Packages , channel purpose ?",3
Fair Usage Policy apply different type Economical Packages ?,3
happen subscriber exceed specify traffic choose Economical Package ?,3
"speed Economical Package customize , , ?",3
"maximum speed available Economical Package , condition apply ?",3
"limit economical datum package purchase time , prioritize usage ?",3
simultaneous purchase limit economical package impact start date usage ?,3
responsibility subscriber purchase limit economical package ?,3
speed Economical Package compare speed limit datum package simultaneously ?,3
specific step purchase Economical Packages * 555 # code MyIrancell superapplication ?,3
restriction number Economical Packages subscriber purchase specific timeframe ?,3
"fair Usage Policy Economical Package , affect datum usage ?",3
"different speed option available purchase Economical Packages , correspond speed ?",3
"subscriber purchase Economical Package , process involve ?",3
happen subscriber exceed specify traffic Fair Usage Policy Economical Package ?,3
"subscriber purchase Economical Package simultaneously , , restriction ?",3
"method acquire Economical Packages , role code * 555 # play process ?",3
"case purchase limit economical datum package simultaneously , take precedence term usage , ?",3
"subscriber purchase limit economical package time , active , responsibility subscriber ?",3
speed Economical Package differ limited datum package simultaneously ?,3
"speed affect Fair Usage Policy trigger Economical Package , result speed ?",3
"application subscriber use purchase Economical Packages , feature application offer ?",3
explain relationship expiry date limited data package Economical Packages purchase ?,3
restriction number limit datum package subscriber use simultaneously Economical Package ?,3
speed limited datum package compare speed Economical Package active time ?,3
"speed range Economical Package , vary base package purchase ?",3
key feature Economical Package term datum usage ?,3
available speed option Economical Packages ?,3
Fair Usage Policy apply subscriber datum usage ?,3
happen subscriber exceed specify traffic limit choose package ?,3
subscriber purchase Economical Package simultaneously ?,3
step purchase Economical Packages ?,3
subscriber access MyIrancell superapplication buy Economical Packages ?,3
limit data package Economical Packages purchase simultaneously ?,3
consequence exceed Fair Usage policy limit term speed ?,3
maximum speed available Economical Package ?,3
subscriber purchase limit economical datum package time ?,3
speed limited economical package differ simultaneously ?,3
"case simultaneous purchase , package , limit economical ?",3
role code * 555 # process purchase Economical Packages ?,3
speed Economical Package change Fair Usage policy limit reach ?,3
limitation number Economical Packages subscriber purchase ?,3
responsibility subscriber purchase multiple package simultaneously ?,3
subscriber check speed current Economical Package ?,3
speed Economical Package customize subscriber ?,3
expiration date policy simultaneous limit economical datum package ?,3
subscriber ensure correct usage limit economical package ?,3
subscriber use limited datum package unlimited speed simultaneously Economical Package ?,3
"happen subscriber purchase package , limited economical , different time ?",3
specific rule limit economical package concurrently ?,3
subscriber initiate purchase multiple datum package ?,3
speed Economical Package upgrade purchase ?,3
happen subscriber try purchase Economical Package simultaneously ?,3
difference speed Economical Package base choose package type ?,3
role Fair Usage policy controlling data usage Economical Package ?,3
subscriber ensure efficient management datum usage limit economical package ?,3
include Economical Package subscriber ?,3
different speed option available Economical Packages ?,3
fair Usage Policy affect datum usage Economical Packages ?,3
happen subscriber exceed specify traffic Fair Usage Policy ?,3
subscriber purchase Economical Package ?,3
possible purchase Economical Package simultaneously ?,3
"code purchase Economical Packages , dial ?",3
Economical Packages purchase MyIrancell superapplication ?,3
speed Economical Packages vary base select speed option ?,3
speed limit subscriber choose 512 Kbps Economical Package ?,3
consequence subscriber exceed Fair Usage policy limit Economical Package ?,3
limitation number Economical Packages subscriber purchase time ?,3
purchase limited data package alongside Economical Packages affect usage ?,3
"case purchase limit economical package simultaneously , package ?",3
happen limited economical package purchase time ?,3
package ( limited economical ) purchase simultaneously activate use ?,3
responsibility subscriber purchase multiple package ?,3
speed limited datum package simultaneously economical package ?,3
speed limited datum package compare speed economical package ?,3
limit datum package speed drop like economical package Fair Usage Policy exceed ?,3
restriction expiration date simultaneously purchase limited economical package ?,3
subscriber check speed current Economical Package ?,3
restriction duration Economical Packages ?,3
subscriber switch different speed option Economical Package ?,3
MyIrancell superapplication facilitate purchase Economical Packages ?,3
speed Economical Package upgrade downgrade purchase ?,3
happen subscriber use limited economical package simultaneously ?,3
specific time frame limit economical package ?,3
subscriber manage monitor datum usage Economical Packages ?,3
additional charge penalty purchase multiple package simultaneously ?,3
obligation customer mention text purchasing service product Irancell ?,4
customer verify Irancell network coverage intend area make purchase ?,4
"happen customer enter inaccurate information purchase , accord central authentication system ?",4
customer pay payable service product purchase Irancell Online Store ?,4
"customer need postman deliver package , require document ?",4
situation postman avoid deliver package customer ?,4
responsibility customer receive damage package postman ?,4
happen customer discover receive package damage accept ?,4
"information customer need provide time placing order , important ?",4
"basis provide Irancell gift service customer , accord information record Irancell system ?",4
work day Irancell obligate deliver purchase product service customer ?,4
"Irancell send purchase product , accord obligation mention text ?",4
Irancell impossible provide product service customer pay ?,4
"condition customer cancel purchase optical fiber internet service , time frame ?",4
"customer request refund cancel order , payment method eligible refund ?",4
happen refunded order cancel delivery product ?,4
term condition money - guarantee customer purchase fiber optic service ?,4
customer use modem return guarantee addition service refund ?,4
"condition return modem , flaw cover return policy ?",4
"responsibility lie owner case change ownership , new owner request money - guarantee ?",4
document person service register need provide postman arrive delivery ?,4
valid identity document require iranian national delivery process ?,4
"case subscriber present delivery , arrange postman deliver product ?",4
"circumstance delivery product delay , mention note end text ?",4
customer responsibility Irancell network coverage purchasing service product ?,4
"consequence Customer enter inaccurate information purchase process , affect service activation ?",4
customer payment purchase product service Irancell Online Store ?,4
"customer need receive package postman , happen require document provide ?",4
situation Irancell hold responsible customer receive damaged package postman ?,4
action Irancell Customer fail provide update information document time place order ?,4
"important customer provide 10 - digit postal code , find accurate information ?",4
"irancell obligation delivery time purchase product service , work day delivery complete ?",4
Irancell handle refund process provision purchase product service impossible ?,4
cancellation policy customer purchase optical fiber internet service Irancell Online Store gateway ?,4
"purchaser request refund optical fiber internet service , payment method eligible refund ?",4
happen refunded amount case order cancellation delivery product ?,4
"condition customer request refund fiber optic service , role Technical Team Network Division play approval process ?",4
term condition return modem money - guarantee policy ?,4
"customer handle original package modem return process , condition return ?",4
"flaw exclude return policy modem , documentation necessary return procedure ?",4
"regulation follow case change ownership , responsibility owner retain ownership transfer ?",4
"new owner request money - guarantee case change ownership , condition apply ?",4
"document require delivery process , valid identity document acceptable iranian foreign national ?",4
"Subscriber postman arrive announce address Subscriber present , especially bad weather condition ?",4
customer check purchase Irancell ?,4
happen Customer enter inaccurate information purchase ?,4
customer pay payable Irancell Online Store ?,4
customer responsibility package delivery process ?,4
customer receive damaged package postman ?,4
important customer provide update information document ?,4
basis provide Irancell gift service Customer ?,4
long Irancell commit deliver purchase product service Customer ?,4
Irancell send purchase product ?,4
happen provision purchase product service impossible later ?,4
timeframe cancel optical fiber internet service request refund ?,4
customer request refund optical fiber internet service ?,4
"payment refundable , , accord Irancell policy ?",4
refunded amount return order cancel delivery ?,4
condition customer request refund fiber optic service ?,4
term condition return modem refund ?,4
necessary original package modem return ?,4
action result modem eligible return ?,4
document require change ownership process ?,4
new owner request money - guarantee change ownership ?,4
document need identification purpose product delivery ?,4
identity document acceptable iranian national product delivery ?,4
identity document acceptable foreign national product delivery ?,4
subscriber present product delivery ?,4
Subscriber postman need deliver product ?,4
impact bad weather condition product delivery ?,4
customer contact Irancell Center Irancell line ?,4
customer contact Irancell Center line ?,4
process request refund fiber optic service coverage issue ?,4
approve refund request fiber optic service coverage issue ?,4
purpose Technical Team Network Division refund process ?,4
irancell determine eligibility modem return guarantee ?,4
subscriber include return modem refund ?,4
action render modem ineligible return ?,4
flaw cover return policy modem ?,4
necessary invoice modem return procedure ?,4
regulation owner follow change ownership Irancell ?,4
responsibility associate service lie current owner ?,4
restriction apply new owner money - guarantee change ownership ?,4
situation delivery product delay accord Irancell ?,4
obligation customer purchase Irancell ?,4
customer check Irancell network coverage intend area ?,4
happen inaccurate information enter customer purchase process ?,4
irancell handle payment Online Store ?,4
customer time deliver package ensure successful delivery ?,4
irancell stance customer receive damaged package postman ?,4
document customer need provide time package delivery ?,4
happen discrepancy information provide customer stage order ?,4
customer register 10 - digit postal code Irancell ?,4
basis provide Irancell gift service customer ?,4
work day Irancell commit deliver purchase product service customer ?,4
Irancell send purchase product customer order ?,4
irancell provision product service impossible payment ?,4
long cancellation period customer purchase optical fiber internet service ?,4
customer request refund cancel order ?,4
"type payment refundable , one accord Irancell policy ?",4
refunded amount return order cancel delivery ?,4
money - Guarantee Terms Conditions customer purchase fiber optic service ?,4
condition customer request refund fiber optic service ?,4
term condition return modem ?,4
customer need original package return modem ?,4
action modem ineligible return accord Irancell policy ?,4
significance have invoice return procedure modem ?,4
regulation follow owner decide transfer ownership person ?,4
new owner request money - guarantee case change ownership ?,4
document person service register need provide postman arrive delivery ?,4
valid identity document iranian national delivery ?,4
acceptable identity document foreign national delivery ?,4
subscriber present postman arrive delivery ?,4
condition delivery delay accord provide text ?,4
contact number Irancell Center delivery - relate issue ?,4
acceptable identity document iranian national delivery ?,4
acceptable identity document foreign national delivery ?,4
action cause delay delivery bad weather condition ?,4
Irancell handle refund process cancel order ?,4
action modem ineligible return accord Irancell policy ?,4
long customer cancel order optical fiber internet service ?,4
customer need provide postman time deliver package ?,4
basis provide Irancell gift service customer ?,4
customer contact Irancell need postman redeliver product ?,4
"definition "" Irancell "" context text ?",5
"refer "" Auctioneer "" term condition ?",5
""" Subscriber "" define document ?",5
"mean term "" Bidder "" context Irancell auction ?",5
"define term "" Golden Number "" Irancell supervisory committee .",5
"process "" e - Auction "" accord document ?",5
""" Auction Portal "" locate , applicant enroll ?",5
"mean "" Close Auction end "" term condition ?",5
""" Suggested Opening Bid , "" determine ?",5
"explain concept "" Earnest Money Deposit "" context Irancell auction .",5
"eligible participate auction , accord general condition participant ?",5
condition eligibility participate auction mention section 2.2 ?,5
"subscriber enter auction , initial payment require ?",5
happen Earnest Money Deposit Bidder 3 winner ?,5
Bidder request refund Earnest Money Deposit ?,5
limit number Irancell SIM card natural person register activate ?,5
bidder transfer SIM Card individual immediately win auction ?,5
right winner choose type Golden number ?,5
deadline winner pay difference bid Deposit ?,5
"case winner refuse pay bid , process determine winner ?",5
"bidder cancel bid , restriction cancellation ?",5
"responsible pay taxis , duty , similar charge related auction ?",5
"golden number deliver winner , activation process ?",5
"information require sign - , important SIM card delivery ?",5
govern law term condition Irancell Golden Number auction subject ?,5
right Subscriber waive accept term condition auction ?,5
responsibility Customer bear pay Irancell account ?,5
consequence Customer face unauthorized banking transaction discover ?,5
"definition "" Irancell "" context term condition ?",5
"refer "" Auctioneer "" term condition ?",5
""" Subscriber "" define context irancell auction golden number ?",5
"consider "" Bidder "" Irancell auction golden number ?",5
"definition "" Golden number "" accord Irancell supervisory committee ?",5
"mean "" e - Auction "" term condition ?",5
"applicant enroll participate golden number auction , accord term condition ?",5
"significance "" Close Auction end "" period auction process ?",5
""" Suggested Opening Bid "" Irancell golden number auction ?",5
"purpose "" Earnest Money Deposit "" mention term condition ?",5
eligible participate Irancell auction golden number accord general condition ?,5
qualification require participant eligible auction ?,5
Irancell SIM card natural person register activate accord term condition ?,5
"individual 18 year old participate auction , , ?",5
"subscriber enter auction , initial payment require ?",5
happen Earnest Money Deposit Bidder 3 winner auction ?,5
Bidder request refund Earnest Money Deposit ?,5
happen Bidder participate auction simultaneously 3 winner ?,5
"auction winner runner - determine , restriction SIM card transfer ?",5
process winner choose prepay postpaid golden number ?,5
time frame winner pay difference bid deposit auction result announce ?,5
happen auction winner fail pay require specify deadline ?,5
"bidder cancel bid , , condition ?",5
"responsibility Bidder taxis , duty , similar charge ?",5
"step involve completion auction , payment , determination number type ?",5
condition auction SIM Card activate deliver winner ?,5
significance provide accurate information registration process bidder ?,5
govern law apply term condition participate Irancell e - auction Golden Numbers ?,5
right Subscriber waive accept term condition participate auction ?,5
responsibility Customer undertake concern pay Irancell account ?,5
"define "" Irancell "" term condition ?",5
"mean "" Auctioneer "" context Irancell golden number auction ?",5
""" Subscriber "" define term condition ?",5
"consider "" Bidder "" Irancell auction golden number ?",5
"define term "" Golden Number "" Irancell supervisory committee .",5
""" e - Auction "" refer context Irancell term condition ?",5
applicant enroll participate Irancell golden number auction ?,5
"mean "" Close Auction end "" irancell auction process ?",5
"explain concept "" Suggested Opening Bid "" term condition .",5
"purpose "" Earnest Money Deposit "" Irancell auction ?",5
general condition participant Irancell golden number auction ?,5
eligibility criterion participant meet auction ?,5
applicant 18 year old participate auction accord term ?,5
step subscriber enter auction email address password ?,5
percentage bidding subscriber pay enter auction ?,5
earnest Money Deposit handle bidder 3 winner ?,5
process refund Earnest money Deposit unsuccessful bidder ?,5
winner transfer SIM Card individual immediately win ?,5
Irancell SIM card natural person register activate National ID number ?,5
option subscriber win bid exceed SIM card ownership limit ?,5
winner choose prepay postpaid golden number ?,5
deadline winner pay difference bid Deposit ?,5
happen winner fail pay require specify deadline ?,5
right runner winner refuse pay complete registration process ?,5
consequence winner pay specify deadline ?,5
"bidder cancel bid , allow cancel bid ?",5
"responsible pay taxis , duty , similar charge Irancell term condition ?",5
"step involve complete auction step , include payment determine number type ?",5
delivery auction SIM card winner ?,5
information system ask bidder complete sign - ?,5
"case problem arise provide incorrect information , responsible accord Irancell term ?",5
law govern term condition participate Irancell golden number e - auction ?,5
subscriber observe participate golden number auction SIM card number ?,5
right Subscriber waive accept term condition participate auction ?,5
Subscriber undertake pay Irancell account ?,5
consequence Customer face unauthorized banking transaction ?,5
subscriber claim objection accept term condition ?,5
role supervisory committee define Golden Numbers ?,5
second runner - determine auction ?,5
work day refund Earnest money Deposit unsuccessful bidder ?,5
"define "" Irancell "" term condition ?",5
"role "" Auctioneer "" accord provide text ?",5
""" Subscriber "" define context irancell auction golden number ?",5
"mean "" golden number "" context Irancell auction ?",5
"define "" e - Auction "" base term condition mention .",5
"applicant enroll participate golden number auction , accord text ?",5
"significance term "" Close Auction end "" auction process ?",5
"explain concept "" Suggested Opening Bid "" Irancell auction term .",5
"mean "" Earnest Money Deposit "" context golden number auction ?",5
natural person eligible participate auction accord Irancell term ?,5
condition participant meet eligible auction applicable law ?,5
step require Subscriber enter auction submit bid ?,5
happen Earnest Money Deposit Bidder 3 winner auction ?,5
Bidder request refund Earnest Money Deposit ?,5
explain condition auction winner runner - transfer SIM Cards .,5
Irancell SIM card natural person register activate National ID number ?,5
"option available Bidder win bid simultaneously , exceed SIM card ownership limit ?",5
describe option available winner prepay postpaid golden number .,5
time frame winner pay difference bid Deposit ?,5
happen winner fail pay require specify deadline ?,5
circumstance runner announce winner ?,5
process winner pays specify give time frame ?,5
"bidder cancel bid , exception ?",5
financial responsibility bidder accord term condition ?,5
step involve complete registration activation purchase SIM card ?,5
"case incorrect information provide bidder , responsibility Irancell disclaim ?",5
govern law participate e - auction Irancell Golden Numbers ?,5
role Master Subscriber Agreement play golden number auction ?,5
claim objection Subscriber waive participate auction ?,5
purpose pay Irancell account accord undertake statement ?,5
consequence Customer face unauthorized banking transaction discover ?,5
winner identity establish SIM Card activate deliver ?,5
type identification document require iranian national foreign national case registration ?,5
responsibility bidder accuracy provide information ?,5
"postal address deliver auction SIM Card , activate ?",5
system handle bidder individual information sign - ?,5
claim objection Subscriber waive accept term condition ?,5
regulation govern term condition participate e - auction Irancell Golden Numbers ?,5
subscriber participate golden number auction SIM card number ?,5
